NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
144,19.746485818506,-0.3477904026165,-9.4245795801461,0.147478598613364,0.0331318712896709,-0.988510162849064,7.5826709305056,0,0,0,0
145,15.745363629618,-0.850736957896,-9.4252877743033,0.029938360265387,-0.454172756284386,-0.890410468286208,4.62397416672272,0,0,0,0
146,11.745155951144,-1.346565006326,-9.4136115187771,0.0510567606514679,-0.358152564736324,-0.932266028322695,3.42210682267696,0,0,0,0
147,26.94095289758,4.838453627963,0.033536563491,0.673249022844391,0.738911273848259,0.0273108516713961,5.51418387226779,0,0,0,0
148,24.138666438976,6.93874765518,0.033536563504,0.597801387852724,0.801643736062891,0.000906152573244027,6.32946041468169,0,0,0,0
149,18.429254777268,9.959433626571,0.033536563525,0.352112466239934,0.935481677609684,0.0298469759775208,5.98474948584682,1.14280597777444,0.791854685246014,1,0
150,14.611785826102,11.15670859888,0.033536563716,0.232045518424655,0.969961965283712,0.0729976936758358,5.60066778657509,0,0,0,0
151,15.756608489066,10.60264896332,2.464406212461,0.303522528146403,0.939141502696262,0.160895347418819,6.88939702190053,0.526917538860675,0.365103202118074,1,0
152,11.737468268562,11.51165743305,2.586527927404,0.176133396605274,0.969129539804217,0.172525249396013,5.72705958260088,0,0,0,0
153,26.752859526186,4.565791238715,2.064112499464,0.607712910570351,0.740809840688127,0.286156946911559,8.48913661783828,0,0,0,0
154,19.74470497762,7.30058417957,6.290288024732,0.358900709981797,0.790607280499647,0.496115317638465,8.98707680178093,0.823186558032527,0.570389152215525,1,0
