NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
119,1,-6.18019091681334e-07,0,6.18019091681334e-07
119,2,-8.90283928684735e-07,0,8.90283928684735e-07
119,3,3.18142435281471e-07,0,-3.18142435281471e-07
120,1,-2.67916074461055e-07,0,2.67916074461055e-07
120,2,-2.09872511952591e-07,0,2.09872511952591e-07
120,3,9.35935647594643e-08,0,-9.35935647594643e-08
121,1,2.33573257343161e-07,0,-2.33573257343161e-07
121,2,-1.61770691624319e-06,0,1.61770691624319e-06
121,3,-2.07927424375476e-07,0,2.07927424375476e-07
122,1,1.74866454626717e-07,0,-1.74866454626717e-07
122,2,-1.54040552646784e-07,0,1.54040552646784e-07
122,3,-4.68466952036062e-08,0,4.68466952036062e-08
123,1,2.96788227934636e-09,0,-2.96788227934636e-09
123,2,1.96074320460426e-08,0,-1.96074320460426e-08
123,3,1.57997280259004e-08,0,-1.57997280259004e-08
124,1,2.6308637250394e-06,0,-2.6308637250394e-06
124,2,5.02678964461878e-06,0,-5.02678964461878e-06
124,3,-4.03530967962862e-06,0,4.03530967962862e-06
125,1,-6.90601146525159e-07,0,6.90601146525159e-07
125,2,7.09067316084777e-07,0,-7.09067316084777e-07
125,3,1.77143840138661e-07,0,-1.77143840138661e-07
126,1,-1.862830072627e-07,0,1.862830072627e-07
126,2,3.06287235761482e-07,0,-3.06287235761482e-07
126,3,6.49496195632461e-07,0,-6.49496195632461e-07
127,1,-3.00962905436762e-07,0,3.00962905436762e-07
127,2,8.37638555668471e-07,0,-8.37638555668471e-07
127,3,5.03814464072362e-07,0,-5.03814464072362e-07
128,1,-7.68978063354214e-07,-0.068963821356209,-0.0689630523781457
128,2,2.73725696520524e-07,-0.0871700016253148,-0.0871702753510113
128,3,-1.67587917008181e-06,0.0240889462876794,0.0240906221668495
129,1,-1.190211027807,-1.12978225507087,0.0604287727361315
129,2,-1.82462004083574,-1.64012376264591,0.184496278189824
129,3,0.492394189689363,0.482424070434036,-0.00997011925532648
130,1,-2.26280902517192,-2.3022265866549,-0.0394175614829764
130,2,-5.52299697614969,-5.52085930060884,0.0021376755408431
130,3,0.993120952271743,0.945951513841065,-0.0471694384306774
131,1,6.47064822225079e-06,0,-6.47064822225079e-06
131,2,3.0105860480416e-06,0,-3.0105860480416e-06
131,3,5.12859130049302e-06,0,-5.12859130049302e-06
132,1,-2.33679976780615e-06,0,2.33679976780615e-06
132,2,-1.28441835983012e-06,0,1.28441835983012e-06
132,3,-2.72845046084963e-06,0,2.72845046084963e-06
133,1,-1.47452629019676e-06,0,1.47452629019676e-06
133,2,-3.8417326862954e-06,0,3.8417326862954e-06
133,3,-3.28515544236602e-06,0,3.28515544236602e-06
134,1,9.26957028912767e-07,0,-9.26957028912767e-07
134,2,1.67057103067636e-07,0,-1.67057103067636e-07
134,3,1.98942377173383e-06,0,-1.98942377173383e-06
135,1,9.40636321632468e-07,0,-9.40636321632468e-07
135,2,2.14377926381116e-06,0,-2.14377926381116e-06
135,3,1.43930170398883e-06,0,-1.43930170398883e-06
136,1,8.95543373511005e-07,0,-8.95543373511005e-07
136,2,1.32561510273257e-06,0,-1.32561510273257e-06
136,3,7.35959289149823e-07,0,-7.35959289149823e-07
137,1,9.97214213288578e-08,0,-9.97214213288578e-08
137,2,2.26109108863309e-07,0,-2.26109108863309e-07
137,3,7.8086775379127e-09,0,-7.8086775379127e-09
138,1,2.75611365885275e-06,0,-2.75611365885275e-06
138,2,5.96694623866689e-06,0,-5.96694623866689e-06
138,3,5.58914989090553e-06,0,-5.58914989090553e-06
139,1,8.14291139794587e-08,0,-8.14291139794587e-08
139,2,7.8167873024948e-06,0,-7.8167873024948e-06
139,3,7.08285829514876e-06,0,-7.08285829514876e-06
140,1,2.73956250798624e-06,0,-2.73956250798624e-06
140,2,8.07399415658772e-07,0,-8.07399415658772e-07
140,3,4.36571050596579e-06,0,-4.36571050596579e-06
141,1,-1.25477738978363e-06,-0.189040203466072,-0.189038948688682
141,2,6.57334493094075e-06,-0.248880290566564,-0.248886863911495
141,3,6.44987549053982e-06,0.15467075617345,0.154664306297959
142,1,-5.41020049482643e-07,0,5.41020049482643e-07
142,2,8.82116259620647e-07,0,-8.82116259620647e-07
142,3,8.08333273927264e-07,0,-8.08333273927264e-07
143,1,3.6788810690142e-07,0,-3.6788810690142e-07
143,2,8.38007489806919e-07,0,-8.38007489806919e-07
143,3,-2.9928741729357e-07,0,2.9928741729357e-07
144,1,5.34025152331558e-07,0,-5.34025152331558e-07
144,2,-1.12446754736706e-06,0,1.12446754736706e-06
144,3,2.23973077268652e-07,0,-2.23973077268652e-07
145,1,-3.12328318451615e-07,0,3.12328318451615e-07
145,2,-9.73970619129808e-07,0,9.73970619129808e-07
145,3,3.20214771476479e-07,0,-3.20214771476479e-07
146,1,-2.77800480926252e-09,0,2.77800480926252e-09
146,2,-5.1591172691573e-08,0,5.1591172691573e-08
146,3,8.63096118186579e-09,0,-8.63096118186579e-09
147,1,-1.60964200738786e-06,0,1.60964200738786e-06
147,2,1.88014428265625e-06,0,-1.88014428265625e-06
147,3,1.4353014216172e-06,0,-1.4353014216172e-06
148,1,9.8858792294855e-07,-0.228986403406528,-0.228987391994451
148,2,-9.97878356359845e-07,-0.33113161633705,-0.331130618458694
148,3,-4.94687708469895e-07,-0.00148095715943579,-0.00148046247172732
149,1,-2.09672984145956,-2.10487843352108,-0.00814859206152141
149,2,-5.57045965798699,-5.53592347317335,0.0345361848136427
149,3,-0.177737073954505,-0.155235999534411,0.0225010744200938
150,1,5.45087542283551e-07,-0.118098516507382,-0.118099061594924
150,2,1.77576206517038e-09,-0.416924501374078,-0.416924503149841
150,3,2.97871661983709e-06,-0.0271344905150409,-0.0271374692316607
151,1,-1.42817235141525,-1.34609375323396,0.082078598181285
151,2,-4.1563205753715,-4.016621192185,0.139699383186497
151,3,-0.724668716469825,-0.699683281521936,0.0249854349478891
152,1,-1.49702081397862e-07,0,1.49702081397862e-07
152,2,-9.1556403361559e-08,0,9.1556403361559e-08
