NodeID,X,Y,Z,U1_Completed,U2_Completed,U3_Completed,UR1_Completed,UR2_Completed,UR3_Completed,U_Magnitude,IsMeasuredNode,IsFixedNode
93,24.896020669442,3.096266971583,6.776327959036,-2.30966233142044,-5.57637172899439,0.221814110486714,21.7436356402544,31.2809293323605,39.0231410685265,6.03983967044833,0,0
94,27.980856124517,3.109445101003,2.654385845174,0.182393714533309,-1.95791082337384,0.701592315476104,-28.92646666013,-19.0188224539438,-8.65078984700287,2.08780124449642,0,0
95,28.736190030104,2.807276234047,0.700627207397,-0.118273948139942,-2.02979412857215,-0.21551217117431,8.20110319679061,2.81672551399685,-0.297363247685022,2.04462672072896,0,0
96,28.382925943644,3.175866192759,-1.1558197985545,-0.148397139006508,-2.12001705511287,-1.06830056070635,6.40575264543071,9.21159102478808,-1.99272197269351,2.37860465669272,0,0
97,27.75717029116,3.136966693999,-3.0448218732741,1.03328074286967,-1.268853011004,-1.98148205229155,-17.5186159157471,-18.9412882576957,4.87810899675335,2.56981092313671,0,0
98,25.118514906564,3.275927115389,-6.3768351126112,-0.959049790766719,-3.68555542396273,-1.64518748917396,-14.3070823803617,-24.2521424781705,18.3862035888377,4.14846202330518,0,0
99,21.004469566246,5.460750271593,-7.2908366879336,-0.281599900293436,-2.87542136527932,-3.83139569373251,-8.28790032427166,-21.0878767187239,13.8177081142778,4.79863933773961,0,0
100,22.112268404076,6.68162180846,5.301534219629,-4.33922462774226,-9.34981217349862,-0.358726695410263,62.2018998489083,86.8812947653897,70.2186158986713,10.3139004693524,0,0
101,21.547433627908,8.155877578537,2.932755136952,-4.2255971635244,-10.0556693242822,-0.803182178243375,-1.32522302432608,-6.74188873411454,-4.92174002311089,10.9369675211707,0,0
102,25.580921183796,4.670171015482,-4.0466930000442,-0.127958211471611,-2.77686598106155,-2.25887114662091,5.48224881124752,17.2018397448242,-2.71282580961776,3.58187895352375,0,0
103,20.703661722618,8.968845669992,0.231326844226,-6.66188463560365,-15.5552194967021,-1.90413649224173,4.36539809395692,17.1556749533877,8.56407475179548,17.0285435745328,0,0
104,19.357108292746,8.765121975488,-4.1959857805924,-0.362034943118785,-2.61474698262044,-3.47974409702992,-32.3596659595478,-29.0512541355246,19.1986821875307,4.36767559051451,0,0
105,21.523348598515,8.30560318967,-2.320056739454,-0.869854664123004,-4.16585572950351,-2.80366683345513,-53.2934078152789,-110.427176946627,17.7098881028975,5.09622888111887,0,0
106,22.808896202868,7.806804846034,0.088092250448,-5.84544505559949,-13.3202433111699,-1.62819907380282,65.2020159279919,98.9804117461655,-5.52535606527443,14.6372518592368,0,0
107,21.72919559793,7.173273517029,-4.8693685081939,-1.42820167951018,-4.49761515629716,-2.42516886301407,-14.7673852733019,-18.4896612121751,14.0309145399701,5.30563343491073,0,0
108,23.765602443983,6.885006210794,2.233408899049,-3.21537673624536,-7.84911720035799,-0.561427093380437,-76.0497793880348,-75.3873607317066,-17.7116602670358,8.50073460132271,0,0
109,19.754084987119,9.17764354003,2.430107976188,-3.46307815300481,-9.73747339306292,-0.364489624033913,31.0120657150807,87.6318823057883,24.8573946309939,10.3413805200493,0,0
